Objekt-ID;Art;Geo Point;Bohr-ID;Kanton;Gemeinde bzw. Sektion;Klassifikation;Laufnummer;Laufnummer-Erweiterung;Vollständige Laufnummer;Schrägbohrung (0/1);Bohrjahr;Strasse;Hausummer;Bohransatz-Kote;Oberkante Fels-Kote;Oberkante Fels-Stratigraphie;Sohle-Kote;Kassierdatum einer Bohrung;Im hydrografischen Jahrbuch;ID: Zustand einer Messstelle;Text: Zustand der Bohrung;chemische Untersuchung (ja/nein);Chemische Analyse;Intervall der chemischen Analyse;Terrain-Kote;Geplant (0/1);Rohrdurchmesser;Z-Koordinate vom Top;Z-Koordinate von der Basis;Grundwasserdaten;Flurabstand;Grundwasserspiegel;Datum des Grundwasserstandes;Format des Datums;Datum des Grundwasserstandes;Geo Shape;X-Koordinate;Y-Koordinate;Bohrprofil-Dokument;Situationsplan-Dokument;Bild zur Bohrung
1530;Bohrungen verrohrt (ø < 200mm);47.56823133476144,7.5739389756148325;9715;BS;1;R;1894;;1894;0;2004;Entenweidstr.;;260.87;236.37;Unbekannt;235.87;;0;;-;0;;;260.87;0;133;260.87;236.87;1;17.0;243.87;2004-10-20T00:00:00;dd.mm.yyyy;20.10.2004;"{""coordinates"": [7.573938975614833, 47.56823133476144], ""type"": ""Point""}";2610183;1268623;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_1894.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_1894.pdf;
1533;Bohrungen verrohrt (ø < 200mm);47.56919079836988,7.573068839314568;9716;BS;1;R;1895;;1895;0;2004;Entenweidstr.;;260.85;237.35;Unbekannt;236.85;;0;101;messbar;0;;;260.85;0;133;260.85;236.85;1;16.100000000000023;244.75;2004-10-18T00:00:00;dd.mm.yyyy;18.10.2004;"{""coordinates"": [7.573068839314568, 47.56919079836988], ""type"": ""Point""}";2610117;1268729;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_1895.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_1895.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/foto_1895_2015_01.jpg
1536;Bohrungen verrohrt (ø < 200mm);47.57035423006621,7.569421289097746;9717;BS;1;R;1896;;1896;0;2004;Flughafenstr.;;266.82;;;241.82;;0;;-;0;;;266.82;0;133;266.82;241.82;1;23.0;243.82;2004-10-21T00:00:00;dd.mm.yyyy;21.10.2004;"{""coordinates"": [7.569421289097746, 47.57035423006621], ""type"": ""Point""}";2609842;1268858;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_1896.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_1896.pdf;
1554;Sondierbohrung;47.577222260735105,7.56828269649038;8013;BS;1;R;3627;;3627;0;1991;Schlachthofstr.;;259.63;235.13;Meletta-Schichten;228.43;;0;;-;0;;;259.63;0;;;;1;13.5;246.13;1991-05-22T00:00:00;dd.mm.yyyy;22.05.1991;"{""coordinates"": [7.56828269649038, 47.577222260735105], ""type"": ""Point""}";2609755;1269622;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_3627.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_3627.pdf;
1557;Bohrungen verrohrt (ø < 200mm);47.57500588277439,7.563140899344628;8360;BS;1;R;3646;;3646;0;1994;Flughafenstr.;;262.08;234.98;Meletta-Schichten;231.33;;1;101;messbar;0;;;258.73;0;114;;;1;11.800000000000011;246.93;1994-03-10T00:00:00;dd.mm.yyyy;10.03.1994;"{""coordinates"": [7.563140899344628, 47.57500588277439], ""type"": ""Point""}";2609369;1269374;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_3646.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_3646.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/_foto_internet_3646.jpg
1566;Bohrungen verrohrt (kassiert);47.572047679099164,7.56891337451795;8824;BS;1;R;3722;;3722;0;1997;Flughafenstr.;;261.06;235.66;Meletta-Schichten;233.96;;0;203;kassiert;0;;;261.06;0;400;261.06;233.96;0;;;;;;"{""coordinates"": [7.56891337451795, 47.572047679099164], ""type"": ""Point""}";2609804;1269046;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_3722.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/Situation_3722.pdf;
1575;Bohrungen verrohrt (ø >= 200mm);47.57180197567451,7.568344636460155;8827;BS;1;R;3725;;3725;0;1997;Flughafenstr.;;265.56;234.06;Meletta-Schichten;232.56;;0;101;messbar;0;;;265.56;0;400;265.56;232.56;1;18.650000000000006;246.91;1997-07-25T00:00:00;dd.mm.yyyy;25.07.1997;"{""coordinates"": [7.568344636460155, 47.57180197567451], ""type"": ""Point""}";2609761;1269019;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_3725.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_3725.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/foto_3725_2003_01.jpg
1596;Bohrungen verrohrt (kassiert);47.570522587880774,7.583217118494181;8952;BS;1;R;3732;;3732;0;1998;Voltastr.;;256.2;236.7;Meletta-Schichten;234.3;2002-09-09;0;203;kassiert;0;;;256.2;0;600;256.3;234.3;1;11.339999999999975;244.86;1998-07-18T00:00:00;dd.mm.yyyy;18.07.1998;"{""coordinates"": [7.583217118494181, 47.570522587880774], ""type"": ""Point""}";2610880;1268879;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_3732.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_3732.pdf;
1602;Sondierbohrung;47.571420872521344,7.572756559824114;8932;BS;1;R;3803;;3803;0;1998;Saint-Louis-Strasse;;259.9;236.8;Meletta-Schichten;235.6;;0;;-;0;;;259.9;0;;;;0;;;;;;"{""coordinates"": [7.572756559824114, 47.571420872521344], ""type"": ""Point""}";2610093;1268977;;;
1611;Sondierbohrung;47.571409141044114,7.572791083619262;8935;BS;1;R;3806;;3806;0;1997;Saint-Louis-Strasse;;259.9;236.35;Meletta-Schichten;235.35;;0;;-;0;;;259.9;0;;;;0;;;;;;"{""coordinates"": [7.572791083619262, 47.571409141044114], ""type"": ""Point""}";2610096;1268976;;;
1620;Sondierbohrung;47.57141007707774,7.572759190670205;8939;BS;1;R;3809;;3809;0;1997;Saint-Louis-Strasse;;259.9;236.7;Meletta-Schichten;235.6;;0;;-;0;;;259.9;0;;;;0;;;;;;"{""coordinates"": [7.572759190670205, 47.57141007707774], ""type"": ""Point""}";2610093;1268976;;;
1623;Bohrungen verrohrt (kassiert);47.57140829362207,7.572745896486355;8940;BS;1;R;3810;;3810;0;1997;Saint-Louis-Strasse;;259.9;236.7;Meletta-Schichten;235.6;;0;203;kassiert;0;;;259.9;0;;;;0;;;;;;"{""coordinates"": [7.572745896486355, 47.57140829362207], ""type"": ""Point""}";2610092;1268976;;;
1629;Sondierbohrung;47.57140921742582,7.572724635272516;8942;BS;1;R;3812;;3812;0;1998;Saint-Louis-Strasse;;259.9;236.7;Meletta-Schichten;235.6;;0;;-;0;;;259.9;0;;;;0;;;;;;"{""coordinates"": [7.572724635272516, 47.57140921742582], ""type"": ""Point""}";2610091;1268976;;;
