Probentyp;Probenahmestelle;Geo Point;X-Koordinate;Y-Koordinate;Probenahmedatum;Entnahmezeit;Probenahmedauer;Reihenfolge;Gruppe;Parameter;Bestimmungsgrenze;Wert;Wert numerisch;Einheit;Auftragsnummer;Probennummer;Resultatnummer;Automatische Auswertung;CAS-Bezeichnung;BAFU-Bezeichnung;Allgemeine Parametergruppe;Probenahmedatum_date;Probenahmejahr
WASSER;F_1032;47.58172502593966,7.593097175077615;2611621.49;1270125.56;09.06.2021;09:15;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-7.40;-7.4;m;12021050503;22021050141;4501013602;False;;;;2021-06-09;2021
WASSER;F_1084;47.559073241914064,7.603599436347044;2612416.86;1267608.53;01.06.2021;10:10;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-15.10;-15.1;m;12021050503;22021050147;4501014400;False;;;;2021-06-01;2021
WASSER;F_0706;47.565637919539455,7.574551509486703;2610229.35;1268334.28;02.06.2021;16:00;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-21.00;-21.0;m;12021050503;22021050126;4501011607;False;;;;2021-06-02;2021
WASSER;F_1291;47.570620948761324,7.607456135415016;2612704.38;1268893.12;01.06.2021;11:10;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-10.80;-10.8;m;12021050503;22021050155;4501015464;False;;;;2021-06-01;2021
WASSER;F_1057;47.5705506239398,7.634613024655483;2614747.88;1268890.03;27.04.2021;09:15;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-9.00;-9.0;m;12021042003;22021040198;4501001797;False;;;;2021-04-27;2021
WASSER;F_1045;47.55403333657704,7.610316753552325;2612923.65;1267049.23;28.04.2021;13:45;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-13.00;-13.0;m;12021042003;22021040204;4501005931;False;;;;2021-04-28;2021
WASSER;F_1044;47.56756030541203,7.592923440793316;2611611.5;1268550.57;28.04.2021;09:20;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-12.50;-12.5;m;12021042003;22021040203;4501002962;False;;;;2021-04-28;2021
WASSER;F_1044;47.56756030541203,7.592923440793316;2611611.5;1268550.57;18.08.2021;09:15;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-10.00;-10.0;m;12021072303;22021070234;4501087351;False;;;;2021-08-18;2021
WASSER;F_1243;47.55008858339086,7.583507218512098;2610906.48;1266606.57;22.06.2006;10:55;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-4.10;-4.1;m;12006062202;22006060206;401349290;False;;;;2006-06-22;2006
WASSER;F_2441;47.58187699270678,7.589961952779306;2611385.59;1270142;08.08.2016;17:15;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-8.00;-8.0;m;12016072903;22016070263;403650739;False;;;;2016-08-08;2016
WASSER;F_2441;47.58187699270678,7.589961952779306;2611385.59;1270142;15.02.2017;09:05;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-9.00;-9.0;m;12017021302;22017020146;403828213;False;;;;2017-02-15;2017
WASSER;F_2441;47.58187699270678,7.589961952779306;2611385.59;1270142;09.08.2017;09:30;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-7.00;-7.0;m;12017080105;22017080015;403984703;False;;;;2017-08-09;2017
WASSER;F_0702;47.57689715178272,7.591860425013848;2611529.49;1269588.57;25.11.2019;10:30;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-8.50;-8.5;m;12019111903;22019110219;4500463933;False;;;;2019-11-25;2019
WASSER;F_1877;47.58244201221551,7.590140211515276;2611398.88;1270204.85;26.03.2019;12:55;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-7.50;-7.5;m;12019032605;22019030265;4500286751;False;;;;2019-03-26;2019
WASSER;F_1520;47.581987724901495,7.597979556383308;2611988.74;1270155.5;13.08.2019;14:00;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-9.00;-9.0;m;12019081205;22019080144;4500410888;False;;;;2019-08-13;2019
WASSER;F_1877;47.58244201221551,7.590140211515276;2611398.88;1270204.85;09.08.2016;11:00;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-8.00;-8.0;m;12016072903;22016070267;403651028;False;;;;2016-08-09;2016
WASSER;F_1877;47.58244201221551,7.590140211515276;2611398.88;1270204.85;14.02.2017;13:00;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-8.00;-8.0;m;12017021302;22017020150;403828502;False;;;;2017-02-14;2017
