timestamp,temp_max,temp_min,temp_mean,precip_sum
19850717T0000,23.694529,14.794529,18.42453,0.0
19850718T0000,26.89453,10.264528,18.749529,2.1000001
19850719T0000,24.48453,16.454529,20.089529,2.9
19850720T0000,21.264528,14.094528,18.156197,1.6000001
19850721T0000,20.30453,10.0245285,15.82286,0.0
19850722T0000,23.994528,11.594528,18.309114,0.0
19850723T0000,25.774529,9.914529,19.576195,0.0
19850724T0000,26.14453,16.284529,20.559114,0.0
19850725T0000,27.854528,14.304528,20.856613,0.0
19850726T0000,30.754528,14.654529,23.026197,7.7999997
19850727T0000,22.854528,17.364529,20.166195,3.6999998
19850728T0000,30.794529,15.934528,23.227446,0.7
19850729T0000,27.104528,14.014528,20.77953,1.1
19850730T0000,22.204529,10.124529,16.530363,0.3
19850731T0000,18.714529,11.614529,15.64453,0.1
19850801T0000,18.80453,11.514528,15.112446,1.2000002
19850802T0000,25.094528,12.324529,17.192448,0.70000005
19850803T0000,24.56453,12.344528,18.311195,0.0
19850804T0000,19.574528,13.624529,16.957445,0.0
19850805T0000,27.104528,13.214529,19.329113,0.6
19850806T0000,15.454529,11.854528,13.117862,5.4
19850807T0000,15.954529,10.404529,12.833278,1.8000002
19850808T0000,21.764528,8.504529,16.18453,0.0
19850809T0000,27.084528,12.134528,19.536196,0.0
19850810T0000,21.454529,14.224528,18.179527,0.3
19850811T0000,26.174528,13.424528,19.511612,0.0
19850812T0000,27.934528,14.994529,21.409113,0.4
19850813T0000,29.414528,18.194529,23.305777,0.0
19850814T0000,31.114529,15.324529,23.893698,0.0
19850815T0000,29.344528,14.994529,22.941612,1.0
19850816T0000,26.504528,18.664528,21.899946,3.2
19850817T0000,20.964529,11.534529,17.134531,0.0
19850818T0000,22.834528,12.534529,17.750778,0.0
19850819T0000,27.084528,13.5245285,20.801195,0.1
19850820T0000,23.05453,16.63453,19.51328,0.0
19850821T0000,26.194529,11.484529,19.69703,0.0
19850822T0000,29.964529,15.174528,22.239946,0.0
19850823T0000,25.414528,14.544529,20.456614,0.0
19850824T0000,27.184528,15.324529,20.870777,8.599999
19850825T0000,19.704529,13.474528,16.004528,35.3
19850826T0000,15.494529,11.644528,13.359944,0.0
19850827T0000,16.024529,10.794529,13.164944,0.0
19850828T0000,20.48453,7.724529,13.542029,0.0
19850829T0000,22.364529,10.214529,15.144946,0.0
19850830T0000,23.924528,11.674528,17.104946,0.0
19850831T0000,27.204529,12.734529,19.728697,0.0
19850901T0000,21.284529,13.684528,18.666613,3.3
19850902T0000,23.904528,9.944529,16.834946,0.0
19850903T0000,17.574528,12.364529,14.937028,18.5
19850904T0000,15.754529,11.794529,13.849528,0.0
19850905T0000,20.164528,11.084529,15.699946,0.0
19850906T0000,17.114529,9.704529,13.639529,2.8999999
19850907T0000,15.994529,3.4745288,10.606195,0.0
19850908T0000,21.414528,5.5645285,14.1078615,0.0
19850909T0000,19.074528,10.494529,15.400363,0.0
19850910T0000,18.23453,7.0145288,12.499111,0.0
19850911T0000,23.574528,7.0445285,15.282029,0.0
19850912T0000,25.744528,11.974528,18.464111,0.0
19850913T0000,25.98453,13.714529,19.155363,2.0
19850914T0000,17.654528,12.904529,16.218279,4.6
19850915T0000,19.31453,12.534529,14.726611,0.2
19850916T0000,14.714529,11.264528,12.690362,0.0
19850917T0000,20.684528,5.9845285,14.098277,0.0
19850918T0000,24.05453,12.2745285,17.645365,0.0
19850919T0000,27.534529,14.324529,20.474113,0.0
19850920T0000,26.864529,12.764528,20.486612,0.0
19850921T0000,27.30453,12.684528,20.747862,0.0
19850922T0000,28.05453,14.854528,21.728697,0.0
19850923T0000,26.324528,13.644528,20.668278,0.0
19850924T0000,26.404528,16.39453,21.503279,0.0
19850925T0000,23.944529,14.104528,19.101198,3.1999998
19850926T0000,23.854528,13.474528,18.11203,0.0
19850927T0000,24.374529,12.944529,17.764114,0.0
19850928T0000,25.374529,14.044529,18.709112,0.0
19850929T0000,23.284529,13.444529,17.504112,0.0
19850930T0000,23.31453,12.584529,17.083277,0.0
19851001T0000,27.264528,11.924528,18.962029,0.0
19851002T0000,25.444529,11.674528,19.102446,0.0
19851003T0000,28.56453,10.144528,19.70786,0.0
19851004T0000,27.22453,11.364529,20.299528,0.1
19851005T0000,18.964529,14.614529,16.354113,10.0
19851006T0000,20.664528,14.084529,16.491194,0.0
19851007T0000,23.834528,12.514528,17.245779,0.0
19851008T0000,15.424528,10.984529,13.132028,1.2
19851009T0000,16.56453,9.924528,13.370778,0.0
19851010T0000,16.82453,9.684528,13.46703,0.0
19851011T0000,20.64453,6.974529,13.228278,0.0
19851012T0000,21.684528,9.684528,14.693695,0.0
19851013T0000,16.58453,5.954529,11.615363,0.0
